"filename", "language", "YAML", "TypeScript", "Markdown", "JSON with Comments", "MS SQL", "Docker", "JSON", "Java", "HTML", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\Dockerfile", "Docker", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\README.md", "Markdown", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 80
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\docker-compose.yml", "YAML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 2, 24
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view-dark.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 7, 8, 75
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view-neo.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 6, 8, 69
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view-split.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 7, 11, 84
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 3, 32
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\guest.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 618, 36, 124, 778
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 692, 50, 121, 863
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\package.json", "JSON", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 166
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 8, 11, 116
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\bundles\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\config\stats.json", "JSON", 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 272
