"filename", "language", "PostCSS", "Java", "MS SQL", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view-dark.css", "PostCSS", -60, 0, 0, -7, -8, -75
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view-neo.css", "PostCSS", -55, 0, 0, -6, -8, -69
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view-split.css", "PostCSS", -66, 0, 0, -7, -11, -84
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\styles\views\login-view.css", "PostCSS", -23, 0, 0, -6, -3, -32
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\guest.css", "PostCSS", -618, 0, 0, -36, -124, -778
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\styles.css", "PostCSS", -235, 0, 0, -8, -34, -277
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\booking-management.css", "PostCSS", 7, 0, 0, 3, 3, 13
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\card-factory.css", "PostCSS", 85, 0, 0, 8, 17, 110
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\dashboard.css", "PostCSS", 17, 0, 0, 3, 5, 25
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\guest-portal.css", "PostCSS", 302, 0, 0, 15, 51, 368
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\invoice.css", "PostCSS", 13, 0, 0, 3, 5, 21
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\login.css", "PostCSS", 111, 0, 0, 7, 19, 137
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\my-bookings.css", "PostCSS", 123, 0, 0, 7, 26, 156
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\my-reviews.css", "PostCSS", 96, 0, 0, 7, 21, 124
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\registration.css", "PostCSS", 64, 0, 0, 8, 12, 84
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\frontend\themes\hotel\views\reports.css", "PostCSS", 87, 0, 0, 9, 23, 119
